id,Beam/Column,Wall,Floor,Cladding,Wall Insulation,Roof Insulation,Roof Membrane,IGU,Window Frame,WWR,Floor to Floor Height,Parking Levels,SCM,GWP
220084,Glulam,ICF,Wood Joist,Metal,Spray Foam,XPS,Mod Bit,Double Glazed,Aluminum,25,3,0,20,316.4
51568,Load Bearing Wood Wall,CLT,CLT,Fiberboard,Mineral Wool,Polyiso,PVC,Double Glazed,PVC,25,3,0,20,137.8
163619,Glulam,Wood Stud OVE,Wood Joist,PVC,Cellulose,XPS,PVC,Triple Glazed,Fiberglass,25,3,0,30,90.5
250103,Glulam,ICF,CLT,Fiberboard,Spray Foam,XPS,EPDM,Double Glazed,Wood,25,3,0,30,295.6
94703,Glulam,Steel Stud,Wood Joist,EIFS,EIFS,EPS,Mod Bit,Triple Glazed,Wood,25,3,0,30,117.9
229012,Glulam,ICF,Wood I Joist,Brick,Fiberglass,Polyiso,Mod Bit,Double Glazed,Aluminum,25,3,0,20,223.0
64838,Load Bearing Wood Wall,ICF,Wood I Joist,Brick,Fiberglass,Polyiso,PVC,Triple Glazed,PVC,10,3,0,30,234.1
147596,Glulam,Wood Stud,CLT,Metal,Fiberglass,XPS,EPDM,Triple Glazed,Wood,10,3,0,30,154.6
114542,Glulam,Steel Stud,CLT,PVC,XPS,Mineral Wool,Mod Bit,Double Glazed,PVC,10,3,0,30,151.2
58005,Load Bearing Wood Wall,ICF,Wood Joist,PVC,Fiberglass,Polyiso,EPDM,Double Glazed,Wood,25,3,0,0,196.6
65180,Load Bearing Wood Wall,ICF,Wood I Joist,Brick,Spray Foam,XPS,Mod Bit,Triple Glazed,Wood,10,3,0,30,332.7
172179,Glulam,Wood Stud OVE,Wood I Joist,Brick,Spray Foam,Mineral Wool,EPDM,Double Glazed,Aluminum,25,3,0,0,186.7
1180,Load Bearing Wood Wall,Wood Stud,Wood Joist,Brick,Fiberglass,XPS,PVC,Triple Glazed,Aluminum,25,3,0,20,120.5
120045,Glulam,Steel Stud,CLT,Fiberboard,Fiberglass,EPS,Mod Bit,Triple Glazed,Wood,25,3,0,0,144.8
92453,Glulam,Steel Stud,Wood Joist,PVC,Fiberglass,Polyiso,PVC,Double Glazed,Aluminum,25,3,0,30,101.7
194230,Glulam,Wood Stud OVE,CLT,EIFS,EIFS,XPS,EPDM,Double Glazed,Wood,25,3,0,20,121.1
189460,Glulam,Wood Stud OVE,CLT,Metal,Spray Foam,Mineral Wool,EPDM,Double Glazed,Aluminum,25,3,0,20,225.7
39126,Load Bearing Wood Wall,CLT,Wood Joist,EIFS,EIFS,Mineral Wool,EPDM,Double Glazed,Fiberglass,10,3,0,0,104.5
200993,Glulam,CLT,Wood Joist,Metal,Mineral Wool,Mineral Wool,EPDM,Double Glazed,PVC,25,3,0,30,139.4
229890,Glulam,ICF,Wood I Joist,Metal,XPS,XPS,Mod Bit,Double Glazed,Wood,10,3,0,0,290.7
59786,Load Bearing Wood Wall,ICF,Wood Joist,EIFS,EIFS,Mineral Wool,PVC,Triple Glazed,Aluminum,10,3,0,30,211.9
50170,Load Bearing Wood Wall,CLT,CLT,EIFS,EIFS,XPS,Mod Bit,Double Glazed,Fiberglass,25,3,0,20,141.5
210060,Glulam,CLT,Wood I Joist,Fiberboard,Mineral Wool,Polyiso,EPDM,Double Glazed,PVC,10,3,0,0,107.3
62724,Load Bearing Wood Wall,ICF,Wood Joist,Fiberboard,Fiberglass,Mineral Wool,Mod Bit,Triple Glazed,PVC,10,3,0,0,227.2
183398,Glulam,Wood Stud OVE,Wood I Joist,Fiberboard,Spray Foam,EPS,Mod Bit,Triple Glazed,PVC,10,3,0,30,179.0
20839,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Fiberboard,XPS,XPS,EPDM,Double Glazed,Fiberglass,10,3,0,20,107.1
184298,Glulam,Wood Stud OVE,Wood I Joist,Fiberboard,Cellulose,Mineral Wool,EPDM,Triple Glazed,Aluminum,10,3,0,30,83.2
132543,Glulam,Wood Stud,Wood I Joist,Brick,XPS,XPS,Mod Bit,Double Glazed,PVC,25,3,0,0,135.6
45389,Load Bearing Wood Wall,CLT,Wood I Joist,Fiberboard,XPS,Mineral Wool,PVC,Triple Glazed,Aluminum,25,3,0,30,126.6
203676,Glulam,CLT,Wood Joist,Fiberboard,XPS,Polyiso,Mod Bit,Double Glazed,PVC,10,3,0,0,122.1
15992,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Metal,Spray Foam,Mineral Wool,PVC,Double Glazed,Fiberglass,10,3,0,30,214.6
126428,Glulam,Wood Stud,Wood Joist,PVC,Mineral Wool,EPS,EPDM,Triple Glazed,Wood,10,3,0,30,81.5
43846,Load Bearing Wood Wall,CLT,Wood I Joist,EIFS,EIFS,XPS,Mod Bit,Double Glazed,Wood,25,3,0,20,113.4
59643,Load Bearing Wood Wall,ICF,Wood Joist,EIFS,EIFS,Polyiso,PVC,Triple Glazed,Aluminum,25,3,0,0,216.5
156298,Glulam,Wood Stud OVE,Wood Joist,Brick,Mineral Wool,EPS,Mod Bit,Double Glazed,Fiberglass,25,3,0,20,113.6
74762,Load Bearing Wood Wall,ICF,Wood I Joist,Fiberboard,Spray Foam,Mineral Wool,PVC,Triple Glazed,Aluminum,10,3,0,30,300.9
134337,Glulam,Wood Stud,Wood I Joist,Brick,Spray Foam,XPS,EPDM,Triple Glazed,Fiberglass,25,3,0,0,196.8
28526,Load Bearing Wood Wall,Wood Stud,CLT,PVC,Mineral Wool,Polyiso,PVC,Double Glazed,PVC,10,3,0,30,110.3
62766,Load Bearing Wood Wall,ICF,Wood Joist,Fiberboard,Fiberglass,Mineral Wool,EPDM,Triple Glazed,Fiberglass,10,3,0,0,223.2
169964,Glulam,Wood Stud OVE,Wood I Joist,Brick,XPS,XPS,PVC,Triple Glazed,Wood,10,3,0,30,132.9
187852,Glulam,Wood Stud OVE,CLT,Metal,Mineral Wool,XPS,Mod Bit,Triple Glazed,Aluminum,25,3,0,20,168.6
64581,Load Bearing Wood Wall,ICF,Wood I Joist,Brick,Fiberglass,XPS,Mod Bit,Double Glazed,Wood,25,3,0,0,232.5
165049,Glulam,Wood Stud OVE,Wood Joist,EIFS,EIFS,Polyiso,PVC,Triple Glazed,Aluminum,10,3,0,20,88.1
42248,Load Bearing Wood Wall,CLT,Wood I Joist,Metal,Mineral Wool,EPS,Mod Bit,Double Glazed,Fiberglass,10,3,0,30,149.7
